Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary_numerical,salary_log
Stephen Curry,PG,31.0,GSW,5.0,5.0,27.8,6.6,16.4,0.402,2.4,9.8,0.245,4.2,6.6,0.636,0.47600000000000003,5.2,5.2,1.0,0.8,4.4,5.2,6.6,1.0,0.4,3.2,2.2,20.8,43006362.0,17.57685861620217
Russell Westbrook,PG,31.0,HOU,57.0,57.0,35.9,10.6,22.5,0.47200000000000003,1.0,3.7,0.258,9.6,18.7,0.514,0.493,5.1,6.7,0.763,1.8,6.2,7.9,7.0,1.6,0.4,4.5,3.5,27.2,41358814.0,17.537796112704953
Chris Paul,PG,34.0,OKC,70.0,70.0,31.5,6.2,12.7,0.489,1.6,4.3,0.365,4.6,8.3,0.5539999999999999,0.552,3.6,4.0,0.907,0.4,4.6,5.0,6.7,1.6,0.2,2.3,2.3,17.6,41358814.0,17.537796112704953
James Harden,SG,30.0,HOU,68.0,68.0,36.5,9.9,22.3,0.444,4.4,12.4,0.355,5.5,9.9,0.556,0.5429999999999999,10.2,11.8,0.865,1.0,5.5,6.6,7.5,1.8,0.9,4.5,3.3,34.3,40824000.0,17.524780701725945
LeBron James,PG,35.0,LAL,67.0,67.0,34.6,9.6,19.4,0.493,2.2,6.3,0.348,7.4,13.1,0.564,0.55,3.9,5.7,0.693,1.0,6.9,7.8,10.2,1.2,0.5,3.9,1.8,25.3,39219565.0,17.484686287391007
Blake Griffin,PF,30.0,DET,18.0,18.0,28.4,4.9,13.9,0.35200000000000004,1.5,6.2,0.243,3.4,7.7,0.439,0.406,4.2,5.4,0.7759999999999999,0.9,3.7,4.7,3.3,0.4,0.4,2.2,1.5,15.5,36595996.0,17.415449393479992
Paul George,SF,29.0,LAC,48.0,48.0,29.6,7.1,16.3,0.439,3.3,7.9,0.41200000000000003,3.9,8.4,0.46399999999999997,0.539,4.0,4.5,0.8759999999999999,0.5,5.2,5.7,3.9,1.4,0.4,2.6,2.4,21.5,35450412.0,17.383645432877696
Mike Conley,PG,32.0,UTA,47.0,41.0,29.0,4.9,12.1,0.409,2.0,5.4,0.375,2.9,6.6,0.43700000000000006,0.494,2.4,3.0,0.8270000000000001,0.7,2.5,3.2,4.4,0.8,0.1,2.0,2.2,14.4,34504132.0,17.356589642945902
Jimmy Butler,SF,30.0,MIA,58.0,58.0,33.8,5.9,13.1,0.455,0.5,2.1,0.244,5.4,11.0,0.495,0.474,7.6,9.1,0.8340000000000001,1.8,4.8,6.7,6.0,1.8,0.6,2.2,1.4,19.9,34379100.0,17.352959379565856
Kemba Walker,PG,29.0,BOS,56.0,56.0,31.1,6.8,15.9,0.425,3.2,8.4,0.381,3.5,7.4,0.47600000000000003,0.526,3.7,4.3,0.8640000000000001,0.6,3.2,3.9,4.8,0.9,0.5,2.1,1.6,20.4,34379100.0,17.352959379565856
Kawhi Leonard,SF,28.0,LAC,57.0,57.0,32.4,9.3,19.9,0.47,2.2,5.7,0.37799999999999995,7.2,14.2,0.506,0.524,6.2,7.1,0.8859999999999999,0.9,6.1,7.1,4.9,1.8,0.6,2.6,2.0,27.1,34379100.0,17.352959379565856
Tobias Harris,PF,27.0,PHI,72.0,72.0,34.3,7.7,16.3,0.47100000000000003,1.8,5.0,0.36700000000000005,5.9,11.3,0.517,0.527,2.4,3.0,0.8059999999999999,1.0,5.9,6.9,3.2,0.7,0.6,1.4,2.3,19.6,33517241.0,17.327570521121366
Kyrie Irving,PG,27.0,BRK,20.0,20.0,32.9,10.0,20.8,0.478,2.8,7.1,0.39399999999999996,7.2,13.7,0.522,0.546,4.7,5.1,0.922,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7,27.4,33329100.0,17.32194144721907
Khris Middleton,SF,28.0,MIL,62.0,59.0,29.9,7.6,15.3,0.49700000000000005,2.4,5.7,0.415,5.2,9.6,0.546,0.575,3.4,3.7,0.9159999999999999,0.7,5.5,6.2,4.3,0.9,0.1,2.2,2.3,20.9,33051724.0,17.31358428629031
Anthony Davis,PF,26.0,LAL,62.0,62.0,34.4,8.9,17.7,0.503,1.2,3.5,0.33,7.7,14.2,0.546,0.536,7.2,8.5,0.846,2.3,7.0,9.3,3.2,1.5,2.3,2.5,2.5,26.1,32742000.0,17.304169215396424
Damian Lillard,PG,29.0,POR,66.0,66.0,37.5,9.5,20.4,0.46299999999999997,4.1,10.2,0.401,5.4,10.2,0.524,0.563,7.0,7.8,0.888,0.5,3.8,4.3,8.0,1.1,0.3,2.9,1.7,30.0,31626953.0,17.26952025804591
